Country,Sea
Belize,Caribbean Sea
Botswana,N/A
Colombia,Caribbean Sea
Suriname,Atlantic Ocean
New Zealand,Pacific Ocean
Cape Verde,Atlantic Ocean
North Korea,Sea of Japan
Laos,N/A
Turkey,Mediterranean Sea
New Caledonia,Pacific Ocean
Venezuela,Caribbean Sea
Congo (Democratic Republic Of The),Atlantic Ocean
United States,Atlantic Ocean
Luxembourg,N/A
Monaco,Atlantic Ocean
Russia,Arctic Ocean
Barbados,Caribbean Sea
Europe,N/A
Virgin Islands,Atlantic Ocean
Angola,Atlantic Ocean
Åland,Baltic Sea
Cayman Islands,Caribbean Sea
Bulgaria,Black Sea
Dominican Republic,Caribbean Sea
Tunisia,Mediterranean Sea
Greece,Mediterranean Sea
Bahrain,Persian Gulf
Haiti,Caribbean Sea
Madagascar,Indian Ocean
Ireland,Atlantic Ocean
Togo,Gulf of Guinea
Croatia,Adriatic Sea
Bahamas,Atlantic Ocean
Mexico,Gulf of Mexico
French Southern And Antarctic Lands,Indian Ocean
Gaza Strip,Mediterranean Sea
Israel,Mediterranean Sea
Kyrgyzstan,N/A
Tanzania,Indian Ocean
Senegal,Atlantic Ocean
Greenland,North Atlantic Ocean
Malawi,N/A
Malaysia,Indian Ocean
South Georgia And The South Sandwich Islands,Southern Ocean
Macau,South China Sea
Algeria,Mediterranean Sea
North America,N/A
Poland,Baltic Sea
Lithuania,Baltic Sea
Iceland,North Atlantic Ocean
Guinea Bissau,Atlantic Ocean
Netherlands,North Sea
South Africa,Indian Ocean
Cuba,Caribbean Sea
Asia,N/A
Denmark,North Sea
Singapore,South China Sea
Spain,Mediterranean Sea
Morocco,Atlantic Ocean
Estonia,Baltic Sea
Kazakhstan,N/A
Kenya,Indian Ocean
Mauritania,Atlantic Ocean
Gambia,Atlantic Ocean
Albania,Adriatic Sea
Nicaragua,Caribbean Sea
Guinea,Atlantic Ocean
South Korea,Sea of Japan
Oman,Arabian Sea
Svalbard And Jan Mayen,Arctic Ocean
Belarus,Baltic Sea
Saint Martin,Caribbean Sea
Djibouti,Red Sea
Latvia,Baltic Sea
Nepal,N/A
British Virgin Islands,Atlantic Ocean
Palau,Philippine Sea
Switzerland,N/A
Romania,Black Sea
Saint Vincent And The Grenadines,Caribbean Sea
Armenia,Black Sea
France (Europe),N/A
Mali,N/A
Argentina,Atlantic Ocean
Samoa,Pacific Ocean
Denmark (Europe),N/A
Portugal,Atlantic Ocean
Canada,Atlantic Ocean
Ecuador,Pacific Ocean
Isle Of Man,Irish Sea
Africa,N/A
Egypt,Mediterranean Sea
Fiji,Pacific Ocean
Jersey,English Channel
Dominica,Caribbean Sea
Macedonia,Adriatic Sea
Serbia,Adriatic Sea
Sao Tome And Principe,Atlantic Ocean
Indonesia,Indian Ocean
Hungary,N/A
Norway,North Sea
Guatemala,Caribbean Sea
Chad,N/A
Panama,Caribbean Sea
Germany,North Sea
Niger,N/A
Andorra,N/A
Honduras,Caribbean Sea
Taiwan,Pacific Ocean
Faroe Islands,North Atlantic Ocean
Curaçao,Caribbean Sea
Sierra Leone,Atlantic Ocean
Western Sahara,Atlantic Ocean
Austria,N/A
Equatorial Guinea,Atlantic Ocean
Kuwait,Persian Gulf
Falkland Islands (Islas Malvinas),South Atlantic Ocean
Baker Island,Pacific Ocean
Nigeria,Atlantic Ocean
Grenada,Caribbean Sea
Solomon Islands,Pacific Ocean
Netherlands (Europe),N/A
Oceania,N/A
Cyprus,Mediterranean Sea
Kingman Reef,Pacific Ocean
Timor Leste,Timor Sea
Rwanda,N/A
Guyana,Atlantic Ocean
China,East China Sea
India,Indian Ocean
Montenegro,Adriatic Sea
Slovakia,N/A
Swaziland,N/A
Burma,Andaman Sea
Seychelles,Indian Ocean
Syria,Mediterranean Sea
Trinidad And Tobago,Caribbean Sea
Saint Kitts And Nevis,Caribbean Sea
Congo,Atlantic Ocean
Czech Republic,N/A
San Marino,N/A
Martinique,Caribbean Sea
Bonaire, Saint Eustatius And Saba,Caribbean Sea
Lesotho,N/A
Montserrat,Caribbean Sea
Ghana,Atlantic Ocean
Eritrea,Red Sea
Guadeloupe,Caribbean Sea
Saint Pierre And Miquelon,Atlantic Ocean
Uganda,N/A
Brazil,Atlantic Ocean
Papua New Guinea,Pacific Ocean
Anguilla,Caribbean Sea
Peru,Pacific Ocean
Benin,Atlantic Ocean
Jamaica,Caribbean Sea
Qatar,Persian Gulf
Zimbabwe,N/A
Chile,Pacific Ocean
Costa Rica,Caribbean Sea
Gabon,Atlantic Ocean
Paraguay,Paraguay River
Bhutan,N/A
Sint Maarten,Caribbean Sea
Burundi,N/A
Liechtenstein,N/A
French Polynesia,Pacific Ocean
Slovenia,Adriatic Sea
Australia,Indian Ocean
Antarctica,Antarctic Ocean
Tajikistan,N/A
El Salvador,Pacific Ocean
Palestina,Mediterranean Sea
Vietnam,South China Sea
American Samoa,Pacific Ocean
Hong Kong,South China Sea
Mayotte,Indian Ocean
Lebanon,Mediterranean Sea
Saint Barthélemy,Caribbean Sea
Saint Lucia,Caribbean Sea
Christmas Island,Indian Ocean
Bosnia And Herzegovina,Adriatic Sea
Azerbaijan,Caspian Sea
Sweden,Baltic Sea
Italy,Mediterranean Sea
Uzbekistan,N/A
Cameroon,Atlantic Ocean
Liberia,Atlantic Ocean
Malta,Mediterranean Sea
Heard Island And McDonald Islands,Indian Ocean
Turks And Caicos Islands,Atlantic Ocean
Pakistan,Arabian Sea
Jordan,Dead Sea
Georgia,Black Sea
United Kingdom (Europe),N/A
Mauritius,Indian Ocean
Côte D'Ivoire,Atlantic Ocean
Central African Republic,Atlantic Ocean
Mongolia,N/A
Niue,Pacific Ocean
Finland,Baltic Sea
Mozambique,Indian Ocean
Yemen,Arabian Sea
Zambia,N/A
Kiribati,Pacific Ocean
Bolivia,N/A
Burkina Faso,N/A
South America,N/A
Afghanistan,N/A
Antigua And Barbuda,Caribbean Sea
Guernsey,English Channel
Aruba,Caribbean Sea
Japan,Sea of Japan
Northern Mariana Islands,Pacific Ocean
Ukraine,Black Sea
Saudi Arabia,Red Sea
French Guiana,Atlantic Ocean
United Arab Emirates,Arabian Sea
Sudan,Red Sea
Thailand,Andaman Sea
Belgium,North Sea
Turkmenistan,Caspian Sea
Reunion,Indian Ocean
Tonga,Pacific Ocean
Comoros,Indian Ocean
Namibia,Atlantic Ocean
Palmyra Atoll,Pacific Ocean
France,Mediterranean Sea
Libya,Mediterranean Sea
United Kingdom,Atlantic Ocean
Iraq,Arabian Sea
Somalia,Indian Ocean
Iran,Persian Gulf
Bangladesh,Bay of Bengal
Sri Lanka,Indian Ocean
Federated States Of Micronesia,Pacific Ocean
Uruguay,Atlantic Ocean
Moldova,Black Sea
Guam,Pacific Ocean
Puerto Rico,Atlantic Ocean
Cambodia,Gulf of Thailand
Ethiopia,N/A
Philippines,Pacific Ocean